delta_block,rows,changed_rows,changed_rate,delta_median,delta_q25,delta_q75,delta_mean,delta_min,delta_max
"(-0.628, 0.137]",3566,3015,0.8454851374088614,0.06880694482973687,0.048920600358818456,0.0947999797211462,0.04965596297956441,-0.627346988969402,0.13745991264399504
"(0.137, 0.221]",3566,2901,0.8135165451486259,0.17670362935460754,0.1760300670663233,0.1767716978589411,0.17101538040421113,0.13746038948115313,0.22076012737705997
"(0.221, 0.319]",3566,2977,0.8348289399887829,0.23838772423222354,0.23831277139141838,0.27822006661512394,0.2561758862101967,0.2209131325001984,0.3192741139235875
"(0.319, 0.678]",3566,3190,0.894559730790802,0.41721204786192867,0.31950618460802027,0.474280715704203,0.43089657948638543,0.31927447155145605,0.6781876895237244
"(0.678, 0.983]",3565,3105,0.8709677419354839,0.7708370769100235,0.678473672609357,0.8347410930415571,0.7622226581085086,0.6781879279423038,0.9825165271759032
"(0.983, 1.0]",3566,3534,0.9910263600673023,0.9999383687973022,0.9997974336147308,0.9999760389328004,0.9994860367700081,0.9830381870269777,0.9999971389770508
