heuristic_joint_label,ml_joint_label,rows
localizer::localizer,anat::SWI,8
perf::perfCbfLikeMap,anat::FLAIR,8
dwi::unknown,anat::anatReformat,8
anat::SWI,anat::T1w,8
dwi::dwiSegmentationOrMask,dwi::dwi,8
perf::unknown,anat::T2w,8
anat::unknown,perf::perfCbfLikeMap,8
anat::T1w,dwi::dwiSegmentationOrMask,8
fmap::magnitude,anat::T1w,8
unknown::unknown,perf::perfCbfLikeMap,8
fmap::magnitude,dwi::dwiParamMap,8
anat::T2w,perf::perfCbfLikeMap,8
fmap::unknown,localizer::localizer,8
fmap::unknown,anat::T1w,7
anat::SWI,localizer::localizer,7
anat::T2starw,perf::dce,7
anat::PD,dwi::dwi,7
anat::T1w,anat::SWI,7
dwi::dwi,fmap::phasediff,6
anat::anatReformat,anat::T2w,6
anat::SWI,perf::dsc,6
anat::unknown,fmap::magnitude,6
localizer::localizer,fmap::magnitude,6
dwi::dwiSegmentationOrMask,dwi::dwiParamMap,6
fmap::magnitude,localizer::localizer,6
fmap::phasediff,localizer::localizer,6
perf::perfCbfLikeMap,anat::T2w,6
dwi::dwiParamMap,fmap::magnitude,6
fmap::unknown,dwi::dwiParamMap,5
perf::unknown,anat::T2starw,5
fmap::phasediff,anat::T1w,5
perf::perfTimingMap,anat::T1w,5
anat::FLAIR,fmap::magnitude,5
perf::perfCbfLikeMap,anat::T2starw,5
perf::dsc,perf::perfCbfLikeMap,5
anat::T1w,fmap::magnitude,5
dwi::dwiParamMap,anat::SWI,5
unknown::unknown,anat::anatReformat,5
fmap::phasediff,dwi::dwi,5
dwi::unknown,fmap::magnitude,4
anat::SWI,dwi::dwiOtherDerived,4
fmap::epi,dwi::dwi,4
anat::PD,dwi::dwiParamMap,4
fmap::phasediff,dwi::dwiParamMap,4
dwi::dwi,anat::PD,4
dwi::unknown,fmap::phasediff,4
dwi::dwiParamMap,fmap::phasediff,4
dwi::unknown,anat::SWI,4
dwi::dwi,fmap::fmapOtherDerived,4
dwi::dwiOtherDerived,anat::SWI,4
anat::unknown,anat::anatReformat,4
perf::dsc,fmap::magnitude,4
dwi::dwiOtherDerived,fmap::magnitude,4
localizer::localizer,dwi::dwiSegmentationOrMask,3
anat::anatReformat,perf::dce,3
perf::dce,anat::anatReformat,3
perf::dce,anat::T2starw,3
unknown::unknown,anat::SWI,3
anat::T2starw,perf::perfCbfLikeMap,3
fmap::epi,perf::dsc,3
anat::T2starw,anat::anatReformat,3
anat::SWI,dwi::dwiParamMap,3
perf::unknown,perf::perfCbfLikeMap,3
dwi::dwiSegmentationOrMask,perf::dsc,3
unknown::unknown,fmap::magnitude,3
dwi::unknown,dwi::dwiSegmentationOrMask,3
anat::T2w,anat::SWI,3
anat::SWI,anat::FLAIR,3
fmap::magnitude,anat::FLAIR,3
